poliza;predio_cop_2024;estrato;sistema_constructivo;tipo_predio;localidad;area_construida;alcobas;banos;subestructura_cimentacion;divisiones_interiores;fachada;ventaneria;pisos_alcobas;tipo_cocina;pisos_baños;lavadero;puerta_principal;puertas_interiores
7319;766903.2264;5;Tradicional aporticado;Apartamento;Usaquen;81;3;2;Cimentaciones - Pilotes;Bloque de arcilla;Piedra;Aluminio;Ceramica;Sin definir;Sin definir;Sin definir;Sin definir;Sin definir
7320;302454.023;3;Tradicional aporticado;Apartamento;Engativá;58;3;2;Cimentaciones - Pilotes;Bloque de arcilla;Ladrillo a la vista;Aluminio;Ceramica;Integral;Ceramica;Sin definir;Metalica;Melaminico
7321;240411.2361;3;Estructura combinada - Concreto con metál;Apartamento;Fontibón;48;3;2;Cimentaciones - Estructura metálica;Placa board;Ladrillo a la vista;Aluminio;Piso afinado;Sin definir;Cemento afinado;Vidrio;Metalica;Sin definir
7322;240411.2361;3;Estructura combinada - Concreto con metál;Apartamento;Fontibón;47;3;2;Cimentaciones - Estructura metálica;Placa board;Ladrillo a la vista;Aluminio;Piso afinado;Sin definir;Cemento afinado;Vidrio;Metalica;Sin definir
7323;1854354.768;6;Tradicional aporticado;Apartamento;Usaquen;127;3;3;Cimentaciones - Pilotes;Bloque de arcilla;Ladrillo a la vista;Aluminio;Sin definir;Integral;Sin definir;Vidrio;Sin definir;Sin definir
7324;410770.3145;3;Tradicional aporticado;Apartamento;Engativá;50;2;2;Cimentaciones - Pilotes;Bloque de arcilla;Pañete - estuco - pintura;Aluminio;Laminado madera;Integral;Ceramica;Sin definir;Sin definir;Sin definir
7325;476493.5649;3;Tradicional aporticado;Apartamento;Engativá;58;2;2;Cimentaciones - Pilotes;Bloque de arcilla;Pañete - estuco - pintura;Aluminio;Laminado madera;Integral;Ceramica;Sin definir;Sin definir;Sin definir
7326;432039.0886;3;Tradicional aporticado;Apartamento;Engativá;49;2;2;Cimentaciones - Pilotes;Bloque de arcilla;Pañete - estuco - pintura;Aluminio;Laminado madera;Integral;Ceramica;Sin definir;Sin definir;Sin definir
7327;503226.3868;4;Industrializado - Forsa;Apartamento;Engativá;71;3;2;Cimentaciones - Pilotes;Concreto;Caraplast;Aluminio;Alfombra;Integral;Ceramica;Granito;Madera;Melaminico
7328;1579085.384;5;Tradicional aporticado;Apartamento;Suba;122;3;3;Cimentaciones - Pilotes;Ladrillo de arcilla;Ladrillo a la vista;Aluminio;Laminado madera;Otro;Ceramica;Granito;Seguridad;Madecor
